Reference_Date,Carrier,Geography
2024-05-13,CN,CN terminal area, Saskatoon
2024-05-13,CN,CN terminal area, Toronto
2024-05-13,CN,CN terminal area, Vancouver
2024-05-13,CN,CN terminal area, Winnipeg
2024-05-13,CPKC,CPKC terminal area, Calgary
2024-05-13,CPKC,CPKC terminal area, Edmonton
2024-05-13,CPKC,CPKC terminal area, Lethbridge
2024-05-13,CPKC,CPKC terminal area, Montreal
2024-05-13,CPKC,CPKC terminal area, Moose Jaw
2024-05-13,CPKC,CPKC terminal area, Red Deer
2024-05-13,CPKC,CPKC terminal area, Toronto
2024-05-13,CPKC,CPKC terminal area, Vancouver
2024-05-13,CPKC,CPKC terminal area, Winnipeg
2024-05-20,CN,CN terminal area, Edmonton
2024-05-20,CN,CN terminal area, Kamloops
2024-05-20,CN,CN terminal area, Montreal
2024-05-20,CN,CN terminal area, Prince George
2024-05-20,CN,CN terminal area, Prince Rupert
2024-05-20,CN,CN terminal area, Sarnia
2024-05-20,CN,CN terminal area, Saskatoon
2024-05-20,CN,CN terminal area, Toronto
2024-05-20,CN,CN terminal area, Vancouver
2024-05-20,CN,CN terminal area, Winnipeg
2024-05-20,CPKC,CPKC terminal area, Calgary
2024-05-20,CPKC,CPKC terminal area, Edmonton
2024-05-20,CPKC,CPKC terminal area, Lethbridge
2024-05-20,CPKC,CPKC terminal area, Montreal
2024-05-20,CPKC,CPKC terminal area, Moose Jaw
2024-05-20,CPKC,CPKC terminal area, Red Deer
2024-05-20,CPKC,CPKC terminal area, Toronto
2024-05-20,CPKC,CPKC terminal area, Vancouver
2024-05-20,CPKC,CPKC terminal area, Winnipeg
2024-05-27,CN,CN terminal area, Edmonton
2024-05-27,CN,CN terminal area, Kamloops
2024-05-27,CN,CN terminal area, Montreal
2024-05-27,CN,CN terminal area, Prince George
2024-05-27,CN,CN terminal area, Prince Rupert
2024-05-27,CN,CN terminal area, Sarnia
2024-05-27,CN,CN terminal area, Saskatoon
2024-05-27,CN,CN terminal area, Toronto
2024-05-27,CN,CN terminal area, Vancouver
2024-05-27,CN,CN terminal area, Winnipeg
2024-05-27,CPKC,CPKC terminal area, Calgary
2024-05-27,CPKC,CPKC terminal area, Edmonton
2024-05-27,CPKC,CPKC terminal area, Lethbridge
2024-05-27,CPKC,CPKC terminal area, Montreal
2024-05-27,CPKC,CPKC terminal area, Moose Jaw
2024-05-27,CPKC,CPKC terminal area, Red Deer
2024-05-27,CPKC,CPKC terminal area, Toronto
2024-05-27,CPKC,CPKC terminal area, Vancouver
2024-05-27,CPKC,CPKC terminal area, Winnipeg
2024-06-03,CN,CN terminal area, Edmonton
2024-06-03,CN,CN terminal area, Kamloops
2024-06-03,CN,CN terminal area, Montreal
2024-06-03,CN,CN terminal area, Prince George
2024-06-03,CN,CN terminal area, Prince Rupert
2024-06-03,CN,CN terminal area, Sarnia
2024-06-03,CN,CN terminal area, Saskatoon
2024-06-03,CN,CN terminal area, Toronto
2024-06-03,CN,CN terminal area, Vancouver
2024-06-03,CN,CN terminal area, Winnipeg
2024-06-03,CPKC,CPKC terminal area, Calgary
2024-06-03,CPKC,CPKC terminal area, Edmonton
2024-06-03,CPKC,CPKC terminal area, Lethbridge
2024-06-03,CPKC,CPKC terminal area, Montreal
2024-06-03,CPKC,CPKC terminal area, Moose Jaw
2024-06-03,CPKC,CPKC terminal area, Red Deer
2024-06-03,CPKC,CPKC terminal area, Toronto
2024-06-03,CPKC,CPKC terminal area, Vancouver
2024-06-03,CPKC,CPKC terminal area, Winnipeg
2024-06-10,CN,CN terminal area, Edmonton
2024-06-10,CN,CN terminal area, Kamloops
2024-06-10,CN,CN terminal area, Montreal
2024-06-10,CN,CN terminal area, Prince George
2024-06-10,CN,CN terminal area, Prince Rupert
2024-06-10,CN,CN terminal area, Sarnia
2024-06-10,CN,CN terminal area, Saskatoon
2024-06-10,CN,CN terminal area, Toronto
2024-06-10,CN,CN terminal area, Vancouver
2024-06-10,CN,CN terminal area, Winnipeg
2024-06-10,CPKC,CPKC terminal area, Calgary
2024-06-10,CPKC,CPKC terminal area, Edmonton
2024-06-10,CPKC,CPKC terminal area, Lethbridge
2024-06-10,CPKC,CPKC terminal area, Montreal
2024-06-10,CPKC,CPKC terminal area, Moose Jaw
2024-06-10,CPKC,CPKC terminal area, Red Deer
2024-06-10,CPKC,CPKC terminal area, Toronto
2024-06-10,CPKC,CPKC terminal area, Vancouver
2024-06-10,CPKC,CPKC terminal area, Winnipeg
2024-06-17,CN,CN terminal area, Edmonton
2024-06-17,CN,CN terminal area, Kamloops
2024-06-17,CN,CN terminal area, Montreal
2024-06-17,CN,CN terminal area, Prince George
2024-06-17,CN,CN terminal area, Prince Rupert
2024-06-17,CN,CN terminal area, Sarnia
2024-06-17,CN,CN terminal area, Saskatoon
2024-06-17,CN,CN terminal area, Toronto
2024-06-17,CN,CN terminal area, Vancouver
2024-06-17,CN,CN terminal area, Winnipeg
2024-06-17,CPKC,CPKC terminal area, Calgary
