Reference_Date,Carrier,Geography
2024-02-12,CPKC,CPKC terminal area, Montreal
2024-02-12,CPKC,CPKC terminal area, Moose Jaw
2024-02-12,CPKC,CPKC terminal area, Red Deer
2024-02-12,CPKC,CPKC terminal area, Toronto
2024-02-12,CPKC,CPKC terminal area, Vancouver
2024-02-12,CPKC,CPKC terminal area, Winnipeg
2024-02-19,CN,CN terminal area, Edmonton
2024-02-19,CN,CN terminal area, Kamloops
2024-02-19,CN,CN terminal area, Montreal
2024-02-19,CN,CN terminal area, Prince George
2024-02-19,CN,CN terminal area, Prince Rupert
2024-02-19,CN,CN terminal area, Sarnia
2024-02-19,CN,CN terminal area, Saskatoon
2024-02-19,CN,CN terminal area, Toronto
2024-02-19,CN,CN terminal area, Vancouver
2024-02-19,CN,CN terminal area, Winnipeg
2024-02-19,CPKC,CPKC terminal area, Calgary
2024-02-19,CPKC,CPKC terminal area, Edmonton
2024-02-19,CPKC,CPKC terminal area, Lethbridge
2024-02-19,CPKC,CPKC terminal area, Montreal
2024-02-19,CPKC,CPKC terminal area, Moose Jaw
2024-02-19,CPKC,CPKC terminal area, Red Deer
2024-02-19,CPKC,CPKC terminal area, Toronto
2024-02-19,CPKC,CPKC terminal area, Vancouver
2024-02-19,CPKC,CPKC terminal area, Winnipeg
2024-02-26,CN,CN terminal area, Edmonton
2024-02-26,CN,CN terminal area, Kamloops
2024-02-26,CN,CN terminal area, Montreal
2024-02-26,CN,CN terminal area, Prince George
2024-02-26,CN,CN terminal area, Prince Rupert
2024-02-26,CN,CN terminal area, Sarnia
2024-02-26,CN,CN terminal area, Saskatoon
2024-02-26,CN,CN terminal area, Toronto
2024-02-26,CN,CN terminal area, Vancouver
2024-02-26,CN,CN terminal area, Winnipeg
2024-02-26,CPKC,CPKC terminal area, Calgary
2024-02-26,CPKC,CPKC terminal area, Edmonton
2024-02-26,CPKC,CPKC terminal area, Lethbridge
2024-02-26,CPKC,CPKC terminal area, Montreal
2024-02-26,CPKC,CPKC terminal area, Moose Jaw
2024-02-26,CPKC,CPKC terminal area, Red Deer
2024-02-26,CPKC,CPKC terminal area, Toronto
2024-02-26,CPKC,CPKC terminal area, Vancouver
2024-02-26,CPKC,CPKC terminal area, Winnipeg
2024-03-04,CN,CN terminal area, Edmonton
2024-03-04,CN,CN terminal area, Kamloops
2024-03-04,CN,CN terminal area, Montreal
2024-03-04,CN,CN terminal area, Prince George
2024-03-04,CN,CN terminal area, Prince Rupert
2024-03-04,CN,CN terminal area, Sarnia
2024-03-04,CN,CN terminal area, Saskatoon
2024-03-04,CN,CN terminal area, Toronto
2024-03-04,CN,CN terminal area, Vancouver
2024-03-04,CN,CN terminal area, Winnipeg
2024-03-04,CPKC,CPKC terminal area, Calgary
2024-03-04,CPKC,CPKC terminal area, Edmonton
2024-03-04,CPKC,CPKC terminal area, Lethbridge
2024-03-04,CPKC,CPKC terminal area, Montreal
2024-03-04,CPKC,CPKC terminal area, Moose Jaw
2024-03-04,CPKC,CPKC terminal area, Red Deer
2024-03-04,CPKC,CPKC terminal area, Toronto
2024-03-04,CPKC,CPKC terminal area, Vancouver
2024-03-04,CPKC,CPKC terminal area, Winnipeg
2024-03-11,CN,CN terminal area, Edmonton
2024-03-11,CN,CN terminal area, Kamloops
2024-03-11,CN,CN terminal area, Montreal
2024-03-11,CN,CN terminal area, Prince George
2024-03-11,CN,CN terminal area, Prince Rupert
2024-03-11,CN,CN terminal area, Sarnia
2024-03-11,CN,CN terminal area, Saskatoon
2024-03-11,CN,CN terminal area, Toronto
2024-03-11,CN,CN terminal area, Vancouver
2024-03-11,CN,CN terminal area, Winnipeg
2024-03-11,CPKC,CPKC terminal area, Calgary
2024-03-11,CPKC,CPKC terminal area, Edmonton
2024-03-11,CPKC,CPKC terminal area, Lethbridge
2024-03-11,CPKC,CPKC terminal area, Montreal
2024-03-11,CPKC,CPKC terminal area, Moose Jaw
2024-03-11,CPKC,CPKC terminal area, Red Deer
2024-03-11,CPKC,CPKC terminal area, Toronto
2024-03-11,CPKC,CPKC terminal area, Vancouver
2024-03-11,CPKC,CPKC terminal area, Winnipeg
2024-03-18,CN,CN terminal area, Edmonton
2024-03-18,CN,CN terminal area, Kamloops
2024-03-18,CN,CN terminal area, Montreal
2024-03-18,CN,CN terminal area, Prince George
2024-03-18,CN,CN terminal area, Prince Rupert
2024-03-18,CN,CN terminal area, Sarnia
2024-03-18,CN,CN terminal area, Saskatoon
2024-03-18,CN,CN terminal area, Toronto
2024-03-18,CN,CN terminal area, Vancouver
2024-03-18,CN,CN terminal area, Winnipeg
2024-03-18,CPKC,CPKC terminal area, Calgary
2024-03-18,CPKC,CPKC terminal area, Edmonton
2024-03-18,CPKC,CPKC terminal area, Lethbridge
2024-03-18,CPKC,CPKC terminal area, Montreal
2024-03-18,CPKC,CPKC terminal area, Moose Jaw
2024-03-18,CPKC,CPKC terminal area, Red Deer
2024-03-18,CPKC,CPKC terminal area, Toronto
2024-03-18,CPKC,CPKC terminal area, Vancouver
2024-03-18,CPKC,CPKC terminal area, Winnipeg
2024-03-25,CN,CN terminal area, Edmonton
2024-03-25,CN,CN terminal area, Kamloops
2024-03-25,CN,CN terminal area, Montreal
2024-03-25,CN,CN terminal area, Prince George
2024-03-25,CN,CN terminal area, Prince Rupert
2024-03-25,CN,CN terminal area, Sarnia
2024-03-25,CN,CN terminal area, Saskatoon
2024-03-25,CN,CN terminal area, Toronto
2024-03-25,CN,CN terminal area, Vancouver
2024-03-25,CN,CN terminal area, Winnipeg
2024-03-25,CPKC,CPKC terminal area, Calgary
2024-03-25,CPKC,CPKC terminal area, Edmonton
2024-03-25,CPKC,CPKC terminal area, Lethbridge
2024-03-25,CPKC,CPKC terminal area, Montreal
2024-03-25,CPKC,CPKC terminal area, Moose Jaw
2024-03-25,CPKC,CPKC terminal area, Red Deer
2024-03-25,CPKC,CPKC terminal area, Toronto
2024-03-25,CPKC,CPKC terminal area, Vancouver
2024-03-25,CPKC,CPKC terminal area, Winnipeg
2024-04-01,CN,CN terminal area, Edmonton
2024-04-01,CN,CN terminal area, Kamloops
2024-04-01,CN,CN terminal area, Montreal
2024-04-01,CN,CN terminal area, Prince George
2024-04-01,CN,CN terminal area, Prince Rupert
2024-04-01,CN,CN terminal area, Sarnia
2024-04-01,CN,CN terminal area, Saskatoon
2024-04-01,CN,CN terminal area, Toronto
2024-04-01,CN,CN terminal area, Vancouver
2024-04-01,CN,CN terminal area, Winnipeg
2024-04-01,CPKC,CPKC terminal area, Calgary
2024-04-01,CPKC,CPKC terminal area, Edmonton
2024-04-01,CPKC,CPKC terminal area, Lethbridge
2024-04-01,CPKC,CPKC terminal area, Montreal
2024-04-01,CPKC,CPKC terminal area, Moose Jaw
2024-04-01,CPKC,CPKC terminal area, Red Deer
2024-04-01,CPKC,CPKC terminal area, Toronto
2024-04-01,CPKC,CPKC terminal area, Vancouver
2024-04-01,CPKC,CPKC terminal area, Winnipeg
2024-04-08,CN,CN terminal area, Edmonton
2024-04-08,CN,CN terminal area, Kamloops
2024-04-08,CN,CN terminal area, Montreal
2024-04-08,CN,CN terminal area, Prince George
2024-04-08,CN,CN terminal area, Prince Rupert
2024-04-08,CN,CN terminal area, Sarnia
2024-04-08,CN,CN terminal area, Saskatoon
2024-04-08,CN,CN terminal area, Toronto
2024-04-08,CN,CN terminal area, Vancouver
2024-04-08,CN,CN terminal area, Winnipeg
2024-04-08,CPKC,CPKC terminal area, Calgary
2024-04-08,CPKC,CPKC terminal area, Edmonton
2024-04-08,CPKC,CPKC terminal area, Lethbridge
2024-04-08,CPKC,CPKC terminal area, Montreal
2024-04-08,CPKC,CPKC terminal area, Moose Jaw
2024-04-08,CPKC,CPKC terminal area, Red Deer
2024-04-08,CPKC,CPKC terminal area, Toronto
2024-04-08,CPKC,CPKC terminal area, Vancouver
2024-04-08,CPKC,CPKC terminal area, Winnipeg
2024-04-15,CN,CN terminal area, Edmonton
2024-04-15,CN,CN terminal area, Kamloops
2024-04-15,CN,CN terminal area, Montreal
2024-04-15,CN,CN terminal area, Prince George
2024-04-15,CN,CN terminal area, Prince Rupert
2024-04-15,CN,CN terminal area, Sarnia
2024-04-15,CN,CN terminal area, Saskatoon
2024-04-15,CN,CN terminal area, Toronto
2024-04-15,CN,CN terminal area, Vancouver
2024-04-15,CN,CN terminal area, Winnipeg
2024-04-15,CPKC,CPKC terminal area, Calgary
2024-04-15,CPKC,CPKC terminal area, Edmonton
2024-04-15,CPKC,CPKC terminal area, Lethbridge
2024-04-15,CPKC,CPKC terminal area, Montreal
2024-04-15,CPKC,CPKC terminal area, Moose Jaw
2024-04-15,CPKC,CPKC terminal area, Red Deer
2024-04-15,CPKC,CPKC terminal area, Toronto
2024-04-15,CPKC,CPKC terminal area, Vancouver
2024-04-15,CPKC,CPKC terminal area, Winnipeg
2024-04-22,CN,CN terminal area, Edmonton
2024-04-22,CN,CN terminal area, Kamloops
2024-04-22,CN,CN terminal area, Montreal
2024-04-22,CN,CN terminal area, Prince George
2024-04-22,CN,CN terminal area, Prince Rupert
2024-04-22,CN,CN terminal area, Sarnia
2024-04-22,CN,CN terminal area, Saskatoon
2024-04-22,CN,CN terminal area, Toronto
2024-04-22,CN,CN terminal area, Vancouver
2024-04-22,CN,CN terminal area, Winnipeg
2024-04-22,CPKC,CPKC terminal area, Calgary
2024-04-22,CPKC,CPKC terminal area, Edmonton
2024-04-22,CPKC,CPKC terminal area, Lethbridge
2024-04-22,CPKC,CPKC terminal area, Montreal
2024-04-22,CPKC,CPKC terminal area, Moose Jaw
2024-04-22,CPKC,CPKC terminal area, Red Deer
2024-04-22,CPKC,CPKC terminal area, Toronto
2024-04-22,CPKC,CPKC terminal area, Vancouver
2024-04-22,CPKC,CPKC terminal area, Winnipeg
2024-04-29,CN,CN terminal area, Edmonton
2024-04-29,CN,CN terminal area, Kamloops
2024-04-29,CN,CN terminal area, Montreal
2024-04-29,CN,CN terminal area, Prince George
2024-04-29,CN,CN terminal area, Prince Rupert
2024-04-29,CN,CN terminal area, Sarnia
2024-04-29,CN,CN terminal area, Saskatoon
2024-04-29,CN,CN terminal area, Toronto
2024-04-29,CN,CN terminal area, Vancouver
2024-04-29,CN,CN terminal area, Winnipeg
2024-04-29,CPKC,CPKC terminal area, Calgary
2024-04-29,CPKC,CPKC terminal area, Edmonton
2024-04-29,CPKC,CPKC terminal area, Lethbridge
2024-04-29,CPKC,CPKC terminal area, Montreal
2024-04-29,CPKC,CPKC terminal area, Moose Jaw
2024-04-29,CPKC,CPKC terminal area, Red Deer
2024-04-29,CPKC,CPKC terminal area, Toronto
2024-04-29,CPKC,CPKC terminal area, Vancouver
2024-04-29,CPKC,CPKC terminal area, Winnipeg
2024-05-06,CN,CN terminal area, Edmonton
2024-05-06,CN,CN terminal area, Kamloops
2024-05-06,CN,CN terminal area, Montreal
2024-05-06,CN,CN terminal area, Prince George
2024-05-06,CN,CN terminal area, Prince Rupert
2024-05-06,CN,CN terminal area, Sarnia
2024-05-06,CN,CN terminal area, Saskatoon
2024-05-06,CN,CN terminal area, Toronto
2024-05-06,CN,CN terminal area, Vancouver
2024-05-06,CN,CN terminal area, Winnipeg
2024-05-06,CPKC,CPKC terminal area, Calgary
2024-05-06,CPKC,CPKC terminal area, Edmonton
2024-05-06,CPKC,CPKC terminal area, Lethbridge
2024-05-06,CPKC,CPKC terminal area, Montreal
2024-05-06,CPKC,CPKC terminal area, Moose Jaw
2024-05-06,CPKC,CPKC terminal area, Red Deer
2024-05-06,CPKC,CPKC terminal area, Toronto
2024-05-06,CPKC,CPKC terminal area, Vancouver
2024-05-06,CPKC,CPKC terminal area, Winnipeg
2024-05-13,CN,CN terminal area, Edmonton
2024-05-13,CN,CN terminal area, Kamloops
2024-05-13,CN,CN terminal area, Montreal
2024-05-13,CN,CN terminal area, Prince George
2024-05-13,CN,CN terminal area, Prince Rupert
2024-05-13,CN,CN terminal area, Sarnia
