UNINUMBR,YEAR,CERT,BRNUM
10118,2024,1399,39
10119,2022,15883,0
10119,2023,15883,0
10119,2024,15883,0
1012,2022,1536,0
1012,2023,1536,0
1012,2024,1536,0
10121,2022,19629,54
10121,2023,19629,54
10121,2024,19629,54
10123,2022,18569,9
10123,2023,18569,9
10123,2024,18569,9
10124,2022,9423,4
10124,2023,9423,4
10124,2024,9423,4
10125,2022,12368,466
10125,2023,12368,466
10125,2024,12368,466
10126,2022,1900,9
10126,2023,1900,9
10126,2024,1900,9
10127,2022,10122,1
10127,2023,10122,1
10127,2024,10122,1
10130,2022,15898,0
10130,2023,15898,0
10130,2024,15898,0
10131,2022,15899,0
10131,2023,15899,0
10131,2024,15899,0
10132,2022,628,2739
10132,2023,628,2739
10132,2024,628,2739
10135,2022,11916,1
10135,2023,11916,1
10135,2024,11916,1
10136,2022,15904,0
10136,2023,15904,0
10136,2024,15904,0
10137,2022,16835,64
10137,2023,16835,64
10137,2024,16835,64
10138,2022,12511,5
10138,2023,12511,5
10138,2024,12511,5
10139,2022,15907,0
10139,2023,15907,0
10139,2024,15907,0
1014,2022,1545,0
1014,2023,1545,0
1014,2024,1545,0
10140,2022,15908,0
