PAIR_ID,CERT,STALPBR,CLASS,UNINUMBR,DEPSUMBR_2022,DEPSUMBR_2023,DEPSUMBR_2024,SHARE_2022,SHARE_2024,DELTA_LOG_SHARE
P013557,9846,KY,GAIN,218963,65376,101569,83312,0.009179219715777795,0.01314394060110115,0.3590186588977315
P013558,9846,KY,DECLINE,5590,1489230,1688151,1109000,0.2090976715817389,0.1749643523936669,-0.1782192183772053
P013558,9846,KY,GAIN,218951,64490,54367,94780,0.009054819497529827,0.01495322030646687,0.5016295246295563
P013559,9846,KY,DECLINE,289181,135427,110972,106988,0.0190148401316789,0.01687924809187884,-0.1191347900044946
P013559,9846,KY,GAIN,193875,52163,87596,88947,0.007324027747707371,0.01403296145388593,0.6502485365407891
P013560,9846,KY,DECLINE,533977,938329,802432,787247,0.1317475534857755,0.124202129421873,-0.05897730342508144
P013560,9846,KY,GAIN,218949,42867,39464,80800,0.006018808302071812,0.01274762819964679,0.7504559474845068
P013561,9846,KY,DECLINE,232329,117477,112188,103473,0.01649454225633915,0.01632469471165906,-0.01035057952264963
P013561,9846,KY,GAIN,224421,42427,84489,82841,0.005957029412648441,0.01306963202582846,0.7857194370055239
P013562,9846,KY,DECLINE,47421,71120,63736,62714,0.009985715035886515,0.009894242016245653,-0.009202601892424897
P013562,9846,KY,GAIN,261893,42406,68727,63084,0.005954080874744144,0.009952616056268787,0.5137585910773523
P013563,9846,KY,DECLINE,447902,54271,49640,48174,0.007620004790672061,0.007600300011012184,-0.002589276749133194
P013563,9846,KY,GAIN,218907,40713,52568,55694,0.005716372557031041,0.008786712932563469,0.4299062505479003
P013564,9846,KY,DECLINE,217,71410,64561,63504,0.01002643294027919,0.01001887848007883,-0.0007537384079091262
P013564,9846,KY,GAIN,261894,37755,54785,56072,0.00530104993222575,0.00884634911399251,0.5120999430550348
P013565,9846,KY,DECLINE,218930,48536,42438,43194,0.006814773129665184,0.006814616985835934,-2.291281237588647e-05
P013565,9846,KY,GAIN,451751,36073,43495,45042,0.005064886086748232,0.007106171650600132,0.3386320058636825
P013566,9846,KY,DECLINE,359927,75111,70878,66967,0.01054607764426985,0.01056522794116023,0.001814222437877438
P013566,9846,KY,GAIN,365215,29581,52140,49398,0.004153366654619783,0.007793407646115744,0.6293589553194225
P013567,9846,KY,DECLINE,218931,95603,91907,87224,0.01342328901259643,0.013761127748589,0.02485660319835253
P013567,9846,KY,GAIN,47816,14586,16919,17178,0.002047970184384712,0.002710133133830848,0.2801486118943917
P013568,9846,MD,DECLINE,43932,579768,495973,172737,0.02365876417063946,0.007978259442778596,-1.087013351599414
