analysis,n_airport_days,airports,dates,beta_log1p_precip,se,t,df,p_two_sided,ci95_low,ci95_high,delta_0_to_10mm_minutes,volume_gamma,baseline_rmse,weather_rmse,fe_iterations,fe_last_change,g_first,g_second,g_intersection,status
S1_TRACE_0_1MM,91687,255,365,4.948700792523204,0.2931940308122592,16.878586439203474,254,2.2372507653812274e-43,4.371299849136134,5.526101735910274,11.866466236884941,5.341904958203577,36.90610734631971,36.66424329211149,8,9.103828801926284e-15,255,365,91687,OK
S2_EXCLUDE_DIVERTED,91680,255,365,4.870090114802776,0.28765092093551625,16.9305563109757,254,1.4775838485057735e-43,4.3036054812166356,5.436574748388917,11.677966064387652,5.366522167285993,37.32085888903766,37.086322622662905,8,1.4210854715202004e-14,255,365,91680,OK
S3_CLUSTER_AIRPORT_ISO_WEEK,91687,255,365,4.892129968812057,0.29214568791272755,16.7455148962304,52,1.3483262956326363e-22,4.305896757549434,5.47836318007468,11.730815326129672,,,,,,255,53,13501,OK
