airport_id,origin_codes,station_ids,unique_station_count,usable_assigned_days,minimum_month_usable_days,assignment_gap_days,assignment_ambiguous_days,weather_missing_days,weather_suspect_days,weather_erroneous_days,weather_ambiguous_days,weather_unparsed_days,usable_m01,usable_m02,usable_m03,usable_m04,usable_m05,usable_m06,usable_m07,usable_m08,usable_m09,usable_m10,usable_m11,usable_m12,stage_a_qualified
14487,RDD,USW00024257,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
14489,RDM,USW00024230,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
14492,RDU,USW00013722,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
14512,RFD,USW00094822,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
14520,RHI,USW00004803,1,364,28,0,0,1,0,0,0,0,31,28,31,29,31,30,31,31,30,31,30,31,True
14524,RIC,USW00013740,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
14534,RIW,USW00024061,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
14543,RKS,USC00487846,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
14570,RNO,USW00023185,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
14574,ROA,USW00013741,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
14576,ROC,USW00014768,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
14633,RST,USW00014925,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
14635,RSW,USW00012894,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
14674,SAF,USW00023049,1,362,28,0,0,3,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,28,True
14679,SAN,USW00023188,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
14683,SAT,USW00012921,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
14685,SAV,USW00003822,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
14696,SBN,USW00014848,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
14698,SBP,USW00093206,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
14704,SBY,USW00093720,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
14716,SCK,USW00023237,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
14730,SDF,USW00093821,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
14747,SEA,USW00024233,1,364,28,0,0,1,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,30,True
14761,SFB,USW00012854,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
14771,SFO,USW00023234,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
14783,SGF,USW00013995,1,364,28,0,0,1,0,0,0,0,31,28,31,30,31,30,31,31,30,30,30,31,True
14812,SHR,USW00024029,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
14814,SHV,USW00013957,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
14831,SJC,USW00023293,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
14842,SJT,USC00417944,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
14869,SLC,USW00024127,1,363,28,0,0,2,0,0,0,0,30,28,31,30,31,30,31,30,30,31,30,31,True
14893,SMF,USW00093225,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
14905,SMX,USW00023273,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
14908,SNA,USW00093184,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
14952,SPI,USW00093822,1,363,28,0,0,0,0,2,0,0,29,28,31,30,31,30,31,31,30,31,30,31,True
14960,SPS,USW00013966,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
14986,SRQ,USW00012871,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
15016,STL,USW00013994,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
15023,STS,USW00023213,1,363,26,0,0,2,0,0,0,0,31,26,31,30,31,30,31,31,30,31,30,31,True
15048,SUX,USW00014943,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
15074,SWO,USW00003965,1,357,26,0,0,8,0,0,0,0,31,28,31,29,31,30,29,31,30,26,30,31,True
15096,SYR,USW00014771,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
15249,TLH,USW00093805,1,364,28,0,0,1,0,0,0,0,31,28,31,30,31,30,31,30,30,31,30,31,True
15295,TOL,USW00094830,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
15304,TPA,USW00012842,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
15323,TRI,USW00013877,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
15356,TTN,USW00014792,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
15370,TUL,USW00013968,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
15376,TUS,USW00023160,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
15380,TVC,USW00014850,1,364,28,0,0,1,0,0,0,0,31,28,31,29,31,30,31,31,30,31,30,31,True
15389,TWF,USW00094178,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
15401,TXK,USW00013977,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
15411,TYR,USW00013972,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
15412,TYS,USW00013891,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
15569,VCT,USW00012912,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
15607,VLD,USW00093845,1,364,28,0,0,1,0,0,0,0,31,28,31,30,31,30,31,30,30,31,30,31,True
15919,XNA,USW00053922,1,361,27,0,0,4,0,0,0,0,31,28,31,30,31,30,31,27,30,31,30,31,True
16101,YKM,USW00024243,1,364,28,0,0,1,0,0,0,0,31,28,31,30,30,30,31,31,30,31,30,31,True
16218,YUM,USW00003145,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
